version	package	cbo	aff	eff	lcom	mf	cs
1.6.2	org.apache.tools.ant.types.selectors.modifiedselector	3	5	6	0.8444444444444444	0.6666666666666666	-23
1.6.2	org.apache.tools.ant.util	6	93	16	0.9795127353266888	0.2857142857142857	-843
1.6.2	org.apache.tools.ant.util.facade	1	4	2	0.5	0.2	1
1.6.2	org.apache.tools.ant.util.regexp	1	7	2	0.75	0.38461538461538464	0
1.6.2	org.apache.tools.bzip2	0	4	0	0.7	0.8181818181818182	-1
1.6.2	org.apache.tools.mail	0	2	0	0.75	0.75	0
1.6.2	org.apache.tools.tar	0	2	0	0.8	0.75	-3
1.6.2	org.apache.tools.zip	0	6	0	0.8	0.7857142857142857	-13
1.6.3	org.apache.tools.ant	8	287	29	0.9452214452214452	0.3745019920318725	-1753
1.6.3	org.apache.tools.ant.filters	5	2	13	0.9340463458110517	0.6727272727272727	-443
1.6.3	org.apache.tools.ant.filters.util	4	7	11	1.0	0.0	-1
1.6.3	org.apache.tools.ant.helper	2	3	14	0.847953216374269	0.5683060109289617	-97
1.6.3	org.apache.tools.ant.input	2	4	2	0.65	0.5384615384615384	4
1.6.3	org.apache.tools.ant.listener	4	0	9	1.0	0.0	-1
1.6.3	org.apache.tools.ant.loader	3	1	5	NaN	0.0	0
1.6.3	org.apache.tools.ant.taskdefs	16	28	124	0.9918930667246251	0.47305009511731133	-22469
1.6.3	org.apache.tools.ant.taskdefs.compilers	4	1	16	0.8363636363636363	0.3673469387755102	-19
1.6.3	org.apache.tools.ant.taskdefs.condition	5	18	10	0.8708333333333333	0.5344827586206896	-64
1.6.3	org.apache.tools.ant.taskdefs.cvslib	4	0	12	0.8727272727272727	0.5714285714285714	-27
1.6.3	org.apache.tools.ant.taskdefs.email	4	2	9	0.6904761904761905	0.5909090909090909	3
1.6.3	org.apache.tools.ant.taskdefs.rmic	4	1	14	0.7619047619047619	0.35714285714285715	-3
1.6.3	org.apache.tools.ant.types	9	151	70	0.9575757575757575	0.37668161434977576	-1277
1.6.3	org.apache.tools.ant.types.mappers	4	0	7	NaN	0.0	0
1.6.3	org.apache.tools.ant.types.resolver	2	0	3	-0.0	0.5714285714285714	1
1.6.3	org.apache.tools.ant.types.selectors	6	8	18	0.8981854838709677	0.6215384615384615	-314
1.6.3	org.apache.tools.ant.types.selectors.modifiedselector	3	6	6	0.8444444444444444	0.6511627906976745	-23
1.6.3	org.apache.tools.ant.util	6	98	16	0.9797979797979798	0.28776978417266186	-924
1.6.3	org.apache.tools.ant.util.facade	1	4	2	0.5	0.2	1
1.6.3	org.apache.tools.ant.util.regexp	1	7	2	0.75	0.38461538461538464	0
1.6.3	org.apache.tools.bzip2	0	4	0	0.7	0.8181818181818182	-1
1.6.3	org.apache.tools.mail	0	2	0	0.75	0.75	0
1.6.3	org.apache.tools.tar	0	2	0	0.8	0.75	-3
1.6.3	org.apache.tools.zip	0	6	0	0.8181818181818182	0.7619047619047619	-20
1.6.4	org.apache.tools.ant	8	287	29	0.9452214452214452	0.3745019920318725	-1753
1.6.4	org.apache.tools.ant.filters	5	2	13	0.9340463458110517	0.6727272727272727	-443
1.6.4	org.apache.tools.ant.filters.util	4	7	11	1.0	0.0	-1
1.6.4	org.apache.tools.ant.helper	2	3	14	0.847953216374269	0.5683060109289617	-97
1.6.4	org.apache.tools.ant.input	2	4	2	0.65	0.5384615384615384	4
1.6.4	org.apache.tools.ant.listener	4	0	9	1.0	0.0	-1
1.6.4	org.apache.tools.ant.loader	3	1	5	NaN	0.0	0
1.6.4	org.apache.tools.ant.taskdefs	16	28	124	0.9918930667246251	0.47305009511731133	-22469
1.6.4	org.apache.tools.ant.taskdefs.compilers	4	1	16	0.8363636363636363	0.3673469387755102	-19
1.6.4	org.apache.tools.ant.taskdefs.condition	5	18	10	0.8708333333333333	0.5344827586206896	-64
1.6.4	org.apache.tools.ant.taskdefs.cvslib	4	0	12	0.8727272727272727	0.5714285714285714	-27
1.6.4	org.apache.tools.ant.taskdefs.email	4	2	9	0.6904761904761905	0.5909090909090909	3
1.6.4	org.apache.tools.ant.taskdefs.rmic	4	1	14	0.7619047619047619	0.35714285714285715	-3
1.6.4	org.apache.tools.ant.types	9	151	70	0.9575757575757575	0.37668161434977576	-1277
1.6.4	org.apache.tools.ant.types.mappers	4	0	7	NaN	0.0	0
1.6.4	org.apache.tools.ant.types.resolver	2	0	3	-0.0	0.5714285714285714	1
1.6.4	org.apache.tools.ant.types.selectors	6	8	18	0.8981854838709677	0.6215384615384615	-314
1.6.4	org.apache.tools.ant.types.selectors.modifiedselector	3	6	6	0.8444444444444444	0.6511627906976745	-23
1.6.4	org.apache.tools.ant.util	6	98	16	0.9797979797979798	0.28776978417266186	-924
1.6.4	org.apache.tools.ant.util.facade	1	4	2	0.5	0.2	1
1.6.4	org.apache.tools.ant.util.regexp	1	7	2	0.75	0.38461538461538464	0
1.6.4	org.apache.tools.bzip2	0	4	0	0.7	0.8181818181818182	-1
1.6.4	org.apache.tools.mail	0	2	0	0.75	0.75	0
1.6.4	org.apache.tools.tar	0	2	0	0.8	0.75	-3
1.6.4	org.apache.tools.zip	0	6	0	0.8181818181818182	0.7619047619047619	-20
1.6.5	org.apache.tools.ant	8	287	29	0.9452214452214452	0.37420382165605093	-1753
1.6.5	org.apache.tools.ant.filters	5	2	13	0.9340463458110517	0.6727272727272727	-443
1.6.5	org.apache.tools.ant.filters.util	4	7	11	1.0	0.0	-1
1.6.5	org.apache.tools.ant.helper	2	3	14	0.847953216374269	0.5683060109289617	-97
1.6.5	org.apache.tools.ant.input	2	4	2	0.65	0.5384615384615384	4
1.6.5	org.apache.tools.ant.listener	4	0	9	1.0	0.0	-1
1.6.5	org.apache.tools.ant.loader	3	1	5	NaN	0.0	0
1.6.5	org.apache.tools.ant.taskdefs	16	28	124	0.9918930667246251	0.47245091830272323	-22469
1.6.5	org.apache.tools.ant.taskdefs.compilers	4	1	16	0.8363636363636363	0.3673469387755102	-19
1.6.5	org.apache.tools.ant.taskdefs.condition	5	18	10	0.8708333333333333	0.5344827586206896	-64
1.6.5	org.apache.tools.ant.taskdefs.cvslib	4	0	12	0.8727272727272727	0.5714285714285714	-27
1.6.5	org.apache.tools.ant.taskdefs.email	4	2	9	0.6904761904761905	0.5909090909090909	3
1.6.5	org.apache.tools.ant.taskdefs.rmic	4	1	14	0.7619047619047619	0.35714285714285715	-3
1.6.5	org.apache.tools.ant.types	9	151	70	0.9575757575757575	0.3761194029850746	-1277
1.6.5	org.apache.tools.ant.types.mappers	4	0	7	NaN	0.0	0
1.6.5	org.apache.tools.ant.types.resolver	2	0	3	-0.0	0.5714285714285714	1
1.6.5	org.apache.tools.ant.types.selectors	6	8	18	0.8981854838709677	0.6215384615384615	-314
1.6.5	org.apache.tools.ant.types.selectors.modifiedselector	3	6	6	0.8444444444444444	0.6511627906976745	-23
1.6.5	org.apache.tools.ant.util	6	98	16	0.9797979797979798	0.28776978417266186	-924
1.6.5	org.apache.tools.ant.util.facade	1	4	2	0.5	0.2	1
1.6.5	org.apache.tools.ant.util.regexp	1	7	2	0.75	0.38461538461538464	0
1.6.5	org.apache.tools.bzip2	0	4	0	0.7	0.8181818181818182	-1
1.6.5	org.apache.tools.mail	0	2	0	0.75	0.75	0
1.6.5	org.apache.tools.tar	0	2	0	0.8	0.75	-3
1.6.5	org.apache.tools.zip	0	6	0	0.8181818181818182	0.7619047619047619	-20
1.7.0	org.apache.tools.ant	9	367	36	0.9443690637720489	0.3400138217000691	-1803
1.7.0	org.apache.tools.ant.dispatch	1	2	3	0.6666666666666666	0.4	1
1.7.0	org.apache.tools.ant.filters	5	6	17	0.9471458773784355	0.7067137809187279	-794
1.7.0	org.apache.tools.ant.filters.util	4	6	11	NaN	0.0	0
1.7.0	org.apache.tools.ant.helper	2	3	14	0.847953216374269	0.5652173913043478	-97
1.7.0	org.apache.tools.ant.input	3	6	3	0.7	0.4864864864864865	3
1.7.0	org.apache.tools.ant.listener	4	0	11	1.0	0.0	-3
1.7.0	org.apache.tools.ant.loader	1	0	1	NaN	0.0	0
